"STATION","DATE","SOURCE","LATITUDE","LONGITUDE","ELEVATION","NAME","REPORT_TYPE","CALL_SIGN","QUALITY_CONTROL","WND","CIG","VIS","TMP","DEW","SLP","AA1","GA1","GA2","GA3","GE1","GF1","KA1","KA2","MA1","MD1","ME1","REM","EQD"
"43272099999","2024-01-01T03:00:00","4","13.2","78.0666666","857.0","CHINTAMANI, IN","FM-12","99999","V020","140,1,N,0005,1","99999,9,9,N","010000,1,9,9","+0170,1","+0160,1","99999,9",,,,,,,"240,M,+0291,1","240,N,+0145,1","99999,9,09197,1","9,9,999,9,-007,1","3,1526,9","SYN08043272 32997 01401 10170 20160 39197 48526 8//// 333 10291 20145 59007 555 10149=",
"43272099999","2024-01-03T03:00:00","4","13.2","78.0666666","857.0","CHINTAMANI, IN","FM-12","99999","V020","140,1,N,0010,1","99999,9,9,N","010000,1,9,9","+0196,1","+0164,1","99999,9",,,,,,,"240,M,+0283,1","240,N,+0173,1","99999,9,09191,1","9,9,999,9,+000,1","3,1526,9","SYN08043272 32997 01402 10196 20164 39191 48526 8//// 333 10283 20173 58000 555 10149=",
"43272099999","2024-01-06T03:00:00","4","13.2","78.0666666","857.0","CHINTAMANI, IN","FM-12","99999","V020","140,1,N,0010,1","99999,9,9,N","002000,1,9,9","+0200,1","+0175,1","99999,9",,"03,1,+00800,1,07,1","99,9,+99999,9,03,1","99,9,+99999,9,00,1","9,AGL   ,+99999,+99999","06,99,1,03,1,99,9,00800,1,99,9,99,9","240,M,+0257,1","240,N,+0185,1","99999,9,09191,1",,"3,1526,9","SYN08643272 32595 61402 10200 20175 39191 48526 83632 333 10257 20185 56299 58001 555 10000=",
"43272099999","2024-01-08T03:00:00","4","13.2","78.0666666","857.0","CHINTAMANI, IN","FM-12","99999","V020","140,1,N,0010,1","99999,9,9,N","002000,1,9,9","+0204,1","+0166,1","99999,9",,"03,1,+00800,1,07,1","99,9,+99999,9,03,1","99,9,+99999,9,00,1","9,AGL   ,+99999,+99999","08,99,1,03,1,99,9,00800,1,99,9,99,9","240,M,+0287,1","240,N,+0186,1","99999,9,09154,1",,"3,1494,9","SYN08643272 32595 81402 10204 20166 39154 48494 83742 333 10287 20186 56999 59033 555 10000=",
"43272099999","2024-01-09T03:00:00","4","13.2","78.0666666","857.0","CHINTAMANI, IN","FM-12","99999","V020","140,1,N,0010,1","99999,9,9,N","002000,1,9,9","+0202,1","+0174,1","99999,9","24,0020,3,1","03,1,+00800,1,07,1","99,9,+99999,9,03,1","99,9,+99999,9,00,1","9,AGL   ,+99999,+99999","06,99,1,03,1,99,9,00800,1,99,9,99,9","240,M,+0276,1","240,N,+0191,1","99999,9,09202,1",,"3,1538,9","SYN09843272 22595 61402 10202 20174 39202 48538 83632 333 10276 20191 56299 58048 6002/ 555 00018 10002=",
"43272099999","2024-01-10T03:00:00","4","13.2","78.0666666","857.0","CHINTAMANI, IN","FM-12","99999","V020","140,1,N,0005,1","99999,9,9,N","010000,1,9,9","+0196,1","+0164,1","99999,9",,,,,,,"240,M,+0276,1","240,N,+0171,1","99999,9,09192,1","9,9,999,9,-010,1","3,1527,9","SYN08043272 32997 01401 10196 20164 39192 48527 8//// 333 10276 20171 59010 555 10002=",
"43272099999","2024-01-13T03:00:00","4","13.2","78.0666666","857.0","CHINTAMANI, IN","FM-12","99999","V020","999,9,C,0000,1","99999,9,9,N","010000,1,9,9","+0180,1","+0164,1","99999,9",,,,,,,"240,M,+0286,1","240,N,+0157,1","99999,9,09206,1","9,9,999,9,+003,1","3,1535,9","SYN08043272 32997 01400 10180 20164 39206 48535 8//// 333 10286 20157 58003 555 10002=",
"43272099999","2024-01-14T03:00:00","4","13.2","78.0666666","857.0","CHINTAMANI, IN","FM-12","99999","V020","140,1,N,0005,1","99999,9,9,N","010000,1,9,9","+0182,1","+0159,1","99999,9",,,,,,,"240,M,+0279,1","240,N,+0153,1","99999,9,09208,1","9,9,999,9,+002,1","3,1540,9","SYN08043272 32997 01401 10182 20159 39208 48540 8//// 333 10279 20153 58002 555 10002=",
"43272099999","2024-01-15T03:00:00","4","13.2","78.0666666","857.0","CHINTAMANI, IN","FM-12","99999","V020","140,1,N,0005,1","99999,9,9,N","010000,1,9,9","+0180,1","+0154,1","99999,9",,,,,,,"240,M,+0285,1","240,N,+0143,1","99999,9,09203,1","9,9,999,9,-005,1","3,1532,9","SYN08043272 32997 01401 10180 20154 39203 48532 8//// 333 10285 20143 59005 555 10002=",
"43272099999","2024-01-16T03:00:00","4","13.2","78.0666666","857.0","CHINTAMANI, IN","FM-12","99999","V020","140,1,N,0005,1","99999,9,9,N","010000,1,9,9","+0184,1","+0161,1","99999,9",,,,,,,"240,M,+0305,1","240,N,+0138,1","99999,9,09191,1","9,9,999,9,-012,1","3,1524,9","SYN08043272 32997 01401 10184 20161 39191 48524 8//// 333 10305 20138 59012 555 10002=",
"43272099999","2024-01-18T03:00:00","4","13.2","78.0666666","857.0","CHINTAMANI, IN","FM-12","99999","V020","140,1,N,0005,1","99999,9,9,N","010000,1,9,9","+0184,1","+0161,1","99999,9",,,,,,,"240,M,+0306,1","240,N,+0163,1","99999,9,09161,1","9,9,999,9,+009,1","3,1524,9","SYN07043272 32997 01401 10184 20161 39161 48524 8//// 333 10306 20163 58009=",
"43272099999","2024-01-20T03:00:00","4","13.2","78.0666666","857.0","CHINTAMANI, IN","FM-12","99999","V020","230,1,N,0005,1","99999,9,9,N","010000,1,9,9","+0186,1","+0164,1","99999,9",,,,,,,"240,M,+0301,1","240,N,+0170,1","99999,9,09211,1","9,9,999,9,+015,1","3,1542,9","SYN08043272 32997 02301 10186 20164 39211 48542 8//// 333 10301 20170 58015 555 10002=",
"43272099999","2024-01-22T03:00:00","4","13.2","78.0666666","857.0","CHINTAMANI, IN","FM-12","99999","V020","140,1,N,0005,1","99999,9,9,N","010000,1,9,9","+0200,1","+0168,1","99999,9",,,,,,,"240,M,+0319,1","240,N,+0156,1","99999,9,09210,1","9,9,999,9,+004,1","3,1544,9","SYN08043272 32997 01401 10200 20168 39210 48544 8//// 333 10319 20156 58004 555 10002=",
"43272099999","2024-01-24T03:00:00","4","13.2","78.0666666","857.0","CHINTAMANI, IN","FM-12","99999","V020","140,1,N,0005,1","99999,9,9,N","010000,1,9,9","+0200,1","+0168,1","99999,9",,,,,,,"240,M,+0306,1","240,N,+0157,1","99999,9,09200,1","9,9,999,9,-011,1","3,1535,9","SYN08043272 32997 01401 10200 20168 39200 48535 8//// 333 10306 20157 59011 555 10002=",
"43272099999","2024-01-25T03:00:00","4","13.2","78.0666666","857.0","CHINTAMANI, IN","FM-12","99999","V020","090,1,N,0005,1","99999,9,9,N","010000,1,9,9","+0200,1","+0162,1","99999,9",,,,,,,"240,M,+0306,1","240,N,+0163,1","99999,9,09201,1","9,9,999,9,+001,1","3,1535,9","SYN08043272 32997 00901 10200 20162 39201 48535 8//// 333 10306 20163 58001 555 10002=",
"43272099999","2024-01-27T03:00:00","4","13.2","78.0666666","857.0","CHINTAMANI, IN","FM-12","99999","V020","140,1,N,0005,1","99999,9,9,N","010000,1,9,9","+0164,1","+0151,1","99999,9",,,,,,,"240,M,+0311,1","240,N,+0150,1","99999,9,09221,1","9,9,999,9,+020,1","3,1546,9","SYN08043272 32997 01401 10164 20151 39221 48546 8//// 333 10311 20150 58020 555 10002=",
"43272099999","2024-01-29T03:00:00","4","13.2","78.0666666","857.0","CHINTAMANI, IN","FM-12","99999","V020","140,1,N,0005,1","99999,9,9,N","010000,1,9,9","+0190,1","+0158,1","99999,9",,,,,,,"240,M,+0293,1","240,N,+0147,1","99999,9,09213,1","9,9,999,9,-002,1","3,1545,9","SYN08043272 32997 01401 10190 20158 39213 48545 8//// 333 10293 20147 59002 555 10002=",
"43272099999","2024-01-30T03:00:00","4","13.2","78.0666666","857.0","CHINTAMANI, IN","FM-12","99999","V020","999,9,C,0000,1","99999,9,9,N","010000,1,9,9","+0150,1","+0129,1","99999,9",,,,,,,"240,M,+0294,1","240,N,+0124,1","99999,9,09202,1","9,9,999,9,-011,1","3,1524,9","SYN08043272 32997 01400 10150 20129 39202 48524 8//// 333 10294 20124 59011 555 10002=",
"43272099999","2024-01-31T03:00:00","4","13.2","78.0666666","857.0","CHINTAMANI, IN","FM-12","99999","V020","140,1,N,0005,1","99999,9,9,N","010000,1,9,9","+0190,1","+0174,1","99999,9",,,,,,,"240,M,+0311,1","240,N,+0148,1","99999,9,09210,1","9,9,999,9,+008,1","3,1542,9","SYN08043272 32997 01401 10190 20174 39210 48542 8//// 333 10311 20148 58008 555 10002=",
"43272099999","2024-02-01T03:00:00","4","13.2","78.0666666","857.0","CHINTAMANI, IN","FM-12","99999","V020","140,1,N,0005,1","99999,9,9,N","010000,1,9,9","+0212,1","+0187,1","99999,9",,,,,,,"240,M,+0315,1","240,N,+0184,1","99999,9,09210,1","9,9,999,9,+000,1","3,1548,9","SYN08043272 32997 01401 10212 20187 39210 48548 8//// 333 10315 20184 58000 555 10002=",
